"Name","Brief Description","Proximity","Street Address","City","State","Zip Code","Phone Number","Web Site","Hours of Operation"
"Astor Child Guidance Center","Food pantry.","","750 Tilden Street","BRONX","NY","10467","(718) 231-3400","","Thu: 2:00 PM - 3:00 PM"
"BMV St Marys Church Winfield","Food pantry. ","","70-31 48th Avenue","WOODSIDE","NY","11377","(718) 672-4848","","Thu: 9:30 AM - 12:00 PM"
"Bay Ridge Center","Food pantry. This location is open only on the first Monday of each month.","","411 Ovington Avenue","BROOKLYN","NY","11209","(718) 748-0650","","Mon: 10:00 AM - 3:00 PM"
"Bay View Houses Resident Association ","Food pantry.","","2085 Rockaway Parkway","BROOKLYN","NY","11236","(347) 216-5909","","Thurs: 10:00 AM - 2:00 PM
1st Thurs of the month: 10:00 AM - 2:00 PM and 4:00 PM - 7:00 PM"
"Bed-Stuy Campaign Against Hunger","Food pantry.","","2004 Fulton Street","BROOKLYN","NY","11233","(718) 773-3551 x152","","Mon: 10 AM - 3 PM; Tue - Fri: 10 AM - 6:00 PM"
"Bedford Central Presbyterian Church Food Provider","Food pantry.","","1200 Dean Street","BROOKLYN","NY","11216","(718) 467-0740","","Thu: 1:00 PM - 2:00 PM"
"Bensonhurst Council of Jewish Organizations","Food pantry with kosher food.","","8635 21st Avenue","BROOKLYN","NY","11214","(718) 333-1834","","Mon, Tue, Thu: 10:00 AM - 2:00 PM"
"Beraca Seventh Day Adventist Church","Food pantry.","","91-19 191st Street","HOLLIS","NY","11423","(718) 740-1916","","Wed: 10:00 AM - 11:30 AM"
"Beth Hark Christian Counseling Center Food Provider I","Food pantry.","","1832 Madison Avenue","NEW YORK","NY","10035","(212) 860-1523","","Tue: 1:00 PM - 5:00 PM"
"Beth Hark Christian Counseling Center Food Provider II","Soup kitchen. ","","1832 Madison Avenue","NEW YORK","NY","10035","(212) 860-1523","","Wed, Thu: 12:00 PM - 2:00 PM"
"Bethany Baptist Church of Jamaica","Food pantry.  ","","157-11 111th Avenue","JAMAICA","NY","11433","(718) 659-6099","","Tue: 10:00 AM - 12:00 PM"
"Bethany Baptist Church of Jamaica ","Soup kitchen. ","","157-11 111th Avenue","JAMAICA","NY","11433","(718) 659-6099","","Wed: 12:00 PM - 3:00 PM"
"Bethany United Methodist Church","Soup kitchen.","","1208 St. John's Place","BROOKLYN","NY","11213","(718) 774-5689","","Tue: 12:30 PM - 2:30 PM"
"Bethel African Methodist Episcopal Church","Food pantry. ","","54-60 West 132nd Street","NEW YORK","NY","10037","(212) 862-0100","","Thu: 9:00 AM - 12:00 PM"
"Bethel African Methodist Episcopal Church - Bethel Arverne Community","Food pantry.","","215 Beach 77th Street","ARVERNE","NY","11692","(718) 474-7712","","Thu: 11:00 AM - 1:00 PM"
"Bethel Gospel Tabernacle Church","Soup kitchen.","","110-25 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 291-4452","","Tue, Fri: 12:00 PM - 2:00 PM; Wed: 9:00 AM - 10:00 AM"
"Bethel Gospel Tabernacle Church","Food pantry. ","","110-25 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 291-4452","","Wed: 11:00 AM - 12:00 PM"
"Bethel Holy Church","Soup kitchen.","","922 St. Nicholas Avenue","NEW YORK","NY","10032","(212) 283-9407","","Tue: 1:00 PM - 2:30 PM"
"Bethel House of Yahweh","Food pantry.","","3482 Park Ave","BRONX","NY","10456","(718) 401-0743","","Sat: 9:00 AM - 11:00 AM "
"Bethel Seventh Day Adventist Church","Soup kitchen.","","457 Grand Avenue","BROOKLYN","NY","11238","(718) 783-3630","","Sun: 1:00 PM - 2:00 PM"
"Bethel Seventh Day Adventist Church","Food pantry.","","457 Grand Avenue","BROOKLYN","NY","11238","(718) 783-3630","","Wed: 3:00 PM - 5:00 PM"
"Bethesda Missionary Baptist Church","Soup kitchen.","","179-09 Jamaica Avenue","JAMAICA","NY","11432","(718) 297-5908","","Mon; Thu: 12:00 PM - 2:00 PM"
"Black Forum of Co-Op City","Food pantry.","","177 Dreiser Loop","BRONX","NY","10475","(718) 320-8035","","Tues, Wed - Fri: 11:00 AM - 12:45 PM"
"Blanche Memorial Church Food Provider I","Food pantry.","","109-74 Sutphin Boulevard","JAMAICA","NY","11435","(718) 658-2458","","Tue: 9:00 AM - 10:00 AM"
"Blessed Assurance Church of God Blessed Assurance Charity Inc","Food pantry.","","2093 Fulton Street ","BROOKLYN","NY","11233","(347) 965-1725","","Sat: 9:00 AM – 11:00 AM"
"Blessed Sacrament Church-Brooklyn","Food pantry.","","198 Euclid Avenue","BROOKLYN","NY","11205","(718) 827-1200","","Wed: 11:30 AM - 12:30 PM"
"Bridge Street Missionary Free Food Program","Soup kitchen. ","","277 Stuyvesant Avenue","BROOKLYN","NY","11221","(718) 452-3936","","Wed: 11:00 AM - 1:30 PM"
"Bright Temple AME Church","Food pantry. This location is ONLY open the last Tuesday of the month. ","","812 Faile Street","BRONX","NY","10474","(718) 542-7777","","Tue: 10:00 AM - 12:00 PM"
"Bronx AIDS Services ","Food pantry offering an HIV/AIDS diet. 
","","540 East Fordham ","BRONX","NY","10458","(718) 295-5605","","Mon - Fri: 9:30 AM - 4:00 PM"
"Bronx Bethany Community Corporation","Food pantry.","","964 East 227th Street ","BRONX","NY","10466","(718) 231-5276","","Wed: 9:00 AM - 11:00 AM"
"Bronx SDA Church Food Pantry","Food pantry.","","1695 Washington Avenue","BRONX","NY","10457","(718) 618-7344","","Thu: 2:00 PM - 5:00 PM"
"Bronx Temple Seventh Day Adventist Church","Food pantry.","","495 Willis Avenue","BRONX","NY","10455","","","Tue, Thu: 12:00 PM - 1:00 PM"
"Brooklyn Rescue Mission Urban Harvest Center Inc","Food pantry.","","919 Gates Ave ","BROOKLYN","NY","11221","(917) 426-3001","","Tues - Thu: 10:00 AM - 12:00 PM"
"Brooklyn West Family Center","Food pantry.","","191 Joralemon Street","BROOKLYN","NY","11201","(718) 722-6001","","Tue, Thu: 9:30 AM - 1:30 PM"
"Brownsville Temple Seventh Day Adventist Church","Food pantry. This location is open on the 1st, 2nd, and 3rd Sundays of each month.","","1089 Clarkson Avenue","BROOKLYN","NY","11212","(718) 345-3689","","Sun: 11:00 AM - 1:00 PM (Does not distribute on the last Sunday of each month)"
"Cabrini Immigrant Services","Food pantry.","","139 Henry Street","NEW YORK","NY","10002","(212) 791-4590","","Tue: 9:30 AM - 12:30 PM"
"Caldwell Temple AME Zion Church","Soup kitchen.","","1288 Rev James A Polite Avenue","BRONX","NY","10459","(347) 577-5070","","Sat: 11:00 AM - 2:00 PM"
"Calvary Baptist Church","Food pantry. ","","111-10 Guy R. Brewer Boulevard","JAMAICA","NY","11433","(718) 297-2301","","Thu: 11:30 AM - 1:30 PM"
"Calvary Pentecostal Church","Food pantry.","","151 Woodruff Avenue","BROOKLYN","NY","11226","(718) 469-8252","","Thu: 11:00 AM - 1:00 PM"
"Calvary's Mission","Food pantry. ","","102-16 89th Avenue","RICHMOND HILL","NY","11418","(718) 849-0311","","Sat: 9:00 AM - 10:00 AM"
"Cardinal McCloskey Family Outreach","Food pantry.","","953 Southern Boulevard","BRONX","NY","10459","(718) 542-0255","","Wed: 9:30 AM - 12:00 PM"
"Cardinal McCloskey Services East Harlem","Food pantry.","","2253 Third Avenue","NEW YORK","NY","10035","(212) 987-1806","","Mon, Wed and  Fri: 9:30 AM - 12:00 PM"
"Cathedral Community Cares Inc. - Cathedral of St. John the Divine","Soup kitchen.","","1047 Amsterdam Avenue ","NEW YORK","NY","10025","(212) 316-7583","","Sun: 10:00 AM - 2:30 PM"
"Catholic Charities","Food pantry.","","2866 West 17th Street","BROOKLYN","NY","11224","(718) 722-6001","","Mon: 9:30 AM - 1:30 PM"
"Center of Hope International","Food pantry.","","38-49 12th Street","LONG ISLAND CITY","NY","11101","(718) 784-4673","","Tue, Wed, Thu: 12:00 PM - 3:00 PM"
"Child Development Support Corporation","Food pantry.","","353-358 Classon Avenue","BROOKLYN","NY","11238","(718) 398-2050","","Thu: 10:00 AM - 12:00 PM"
"Christ Apostolic Church Goke ","Food pantry. This location is open on the 1st and 3rd Tuesday, 2nd and 4th Saturday of each month.","","622 Cortelyou Road","BROOKLYN","NY","11218","(718) 284-7479","","Tue: 6:30 PM 7:30 PM,Sat: 11:00 AM – 2:00 PM"
"Christ Apostolic Church of America, Inc","Food pantry.","","108-02 Sutphin Boulevard","JAMAICA","NY","11435","(718) 658-8981","","Sat: 10:00 AM - 12:00 PM "
"Christ Church International","Food pantry. This location is open on the first and third Saturdays of each month. ","","122-20 Merrill Street","JAMAICA","NY","11434","(718) 276-2799","","Sat: 10:00 AM – 12:00 PM"
"Christ Church United Methodist","Soup kitchen.","","524 Park  Avenue","NEW YORK","NY","10065","(212) 838-3036","","Sun: 4:30 PM - 6:00 PM"
"Christ Disciples International Ministries","Food pantry.","","3021-31 Webster Avenue ","BRONX","NY","10467","(718) 994-5422","","Wed, Sat: 10:30 AM - 1:00 PM"
"Christ Jesus Baptist Church ","Food pantry.","","456 East 168th Street","BRONX","NY","10457","","","Wed: 12:00 PM - 1:30 PM "
"Christ The Rock Church International","Food pantry.","","770-784 Glenmore Avenue ","BROOKLYN","NY","11208","(718) 348-7414","","Wed: 5:00 PM -  6:00 PM"
"Christian Church of Canarsie","Food pantry.","","602 East 89th Street","BROOKLYN","NY","11236","(718) 272-5150","","Sat: 10:00 AM - 1:00 PM"
"Christian Cultural Center","Food pantry.","","1400 Linden Boulevard","BROOKLYN","NY","11212","(718) 306-1000","","Thu: 10:00 AM - 1:00 PM"
"Christian Fellowship Seventh Day Adventist Community Services","Soup kitchen. ","","777 Schenectady Avenue","BROOKLYN","NY","11203","","","Mon - Wed: 5:00 PM - 6:00 PM"
"Christian Fellowship Seventh Day Adventist Community Services","Food pantry. This location is closed on the fifth Wednesday of the month. ","","777 Schenectady Avenue","BROOKLYN","NY","11203","","","Wed: 10:30 AM - 12:30 PM"
"Christian Pentacostal Church","Food pantry.","","900 Richmond Road","STATEN ISLAND","NY","10304","(718) 273-5850","","Tue, Wed: 7:00 PM - 8:00 PM"
"Church of God Brooklyn","Food pantry.","","627-29 Remsen Avenue","BROOKLYN","NY","11236","(718) 346-4897","","Sat: 1:00 PM - 2:30 PM"
"Church of God Feeding the Hungry","Food pantry.","","836 Classon Avenue","BROOKLYN","NY","11238","(718) 230-8277","","Thu: 11:30 AM - 1:30 PM"
"Church of God Seventh Day Pentecostal","Food pantry.","","922 St. Marks Avenue","BROOKLYN","NY","11213","(718) 221-9718","","Tue: 5:00 PM - 6:30 PM"
"Church of God Seventh Day Pentecostal","Soup kitchen.","","922 St. Marks Avenue","BROOKLYN","NY","11213","(718) 221-9718","","Wed: 5:00 PM - 7:00 PM"
"Church of God of Salvation","Food pantry.","","1615 Nostrand Avenue","BROOKLYN","NY","11226","(718) 941-8195","","Tue, Thu: 9:00 - 11:00 AM"
"Church of God, Inc","Food pantry. ","","1011 Winthrop Street","BROOKLYN","NY","11212","(718) 493-3031","","Sat: 1:30 PM - 2:30 PM"
"Church of Notre Dame","Food pantry. ","","405 West 114th Street","NEW YORK","NY","10028","(212) 866-1500","","Tue: 2:00 PM - 4:00 PM"
"Church of Praise and Worship God in Christ","Food pantry.","","526 Ralph Avenue","BROOKLYN","NY","11233","(347) 462-5679","","Sat: 12:30 PM - 2:30 PM"
"Church of the Annunciation","Food pantry.","","88 Convent Avenue","NEW YORK","NY","10027","(212) 234-1919","","Tue: 1:00 PM - 2:00 PM"
"Church of the Crucifixion","Food pantry.","","459 West 149th Street","NEW YORK","NY","10031","(212) 281-0900","","Wed: 10:00 AM - 1:00 PM"
"Coalition for the Homeless","Soup kitchen.","","108 East 51st Street","NEW YORK","NY","10022","(212) 369-9220","","Mon - Sun: 6:00 PM - 7:00 PM"
"Come World Ministries, Inc","Food pantry.","","1034 Prospect Avenue","BRONX","NY","10459","(646) 337-0132","","Wed: 9:00 AM - 11:00 AM; Sat: 12:00 PM - 2:00 PM"
"Come World Ministries, Inc","Soup kitchen.","","1034 Prospect Avenue","BRONX","NY","10459","(646) 337-0132","","Sat: 12:00 PM - 2:00 PM"
"Community Alliance Initiative","Food pantry.","","60-85 Myrtle Avenue ","RIDGEWOOD","NY","11385","(718) 305-4888","","Wed: 10:00 AM - 12:00 PM "
"Community Health Action of Staten Island","Food pantry.","","2134 Richmond Terrace","STATEN ISLAND","NY","10302","(718) 808-1840","","Wed: 10:00 AM - 1:00 PM, 2:00 PM - 4:00 PM"
"Community Impact","Food pantry.","","601 West 114th Street","NEW YORK","NY","10025","(212) 864-6100","","Mon, Thu: 12:30 PM - 2:00 PM"
"Community League Of The Heights","Food pantry.","","508 West 159th Street","NEW YORK","NY","10032","(212) 795-4779","","Wed: 9:00 AM - 11:00 AM; Sat: 
9:00 AM - 11:00 AM"
"Community Services Housing Development Corporation","Food pantry. ","","547 Howard Avenue","BROOKLYN","NY","11233","(646) 794-5961","","Thu: 10:00 AM - 12:00 PM"
"Compassion House CDC","Soup kitchen.","","43 George Street","BROOKLYN","NY","11206","(718) 386-8151","","Tue: 8:00 AM - 9:30 AM, 12:00 PM - 1:00 PM; Thu: 9:00 AM - 11:30 AM"
"Convent Avenue Baptist Church","Food pantry.","","425 West 144th Street ","NEW YORK","NY","10031","(212) 234-6767","","Mon, Thu: 9:00 AM - 12:00 PM"
"Cornerstone Baptist Food Pantry","Food pantry.","","562-574 Madison Street","BROOKLYN","NY","11221","(718) 574-5248","","Tue: 11:00 AM - 1:00 PM"
"Corona Seventh Day Adventist Church","Food pantry.","","35-30 103rd Street","CORONA","NY","11368","(718) 651-4534","","Sun: 12:00 PM - 2:00 PM"
"Corpus Christi Food Pantry","Food pantry.","","31-30 61st Street","WOODSIDE","NY","11377","(718) 278-8114","","Wed: 11:00 AM - 1:00 PM"
"Council of Jewish Organizations Staten Island","Food pantry with kosher food.","","984 Post Avenue","STATEN ISLAND","NY","10302","(718) 720-4047","","Mon, Wed, Fri: 10:00 - 2:00 PM; 
Tue, Thu: 12:00 PM - 2:00 PM; 
Sun: 9:00 AM - 11:00 AM"
"Creston Avenue Baptist Church, Inc","Food pantry. ","","114 East 188th Street","BRONX","NY","10468","(718) 367-1754","","Sat: 12:00 PM - 2:00 PM"
"Creston Avenue Baptist Church, Inc Food Provider II","Soup kitchen. ","","114 East 188th Street","BRONX","NY","10468","(718) 367-1754","","Sat: 12:00 PM - 2:00 PM"
"Crossroad's Community Services","Food pantry.","","108 East 51st Street","NEW YORK","NY","10022","(212) 378-0231","","Thu: 12:00 PM - 3:00 PM"
"Crossroad's Community Services Inc","Soup kitchen.","","108 East 51st Street","NEW YORK","NY","10022","(212) 378-0231","","Mon - Fri, Sun: 5:30 PM - 6:30 PM; Mon, Wed, Sun: 7:00 AM - 8:30 AM; Sat: 9:30 AM - 11:00 AM "
"Crown Heights Jewish Community Council","Food pantry with kosher food. ","","877 Montgomery Street","BROOKLYN","NY","11213","(718) 771-9000","","Wed: 1:30 PM - 3:00 PM"
"Cuyler Warren United Methodist Church","Food pantry.","","450 Warren Street","BROOKLYN","NY","11217","(718) 875-8502","","Tue: 1:30 PM - 2:45 PM"
"Deliverance Temple Church of Jesus Christ","Food pantry.","","134-10 Rockaway Boulevard ","SOUTH OZONE PARK","NY","11420","(718) 529-1993","","Tue: 5:30 PM - 6:30 PM"
"Department of Probation Bronx Office","Food pantry.","","198 East 161st Street","BRONX","NY","10451","(718) 802-4500","","Fri: 10:00 AM - 1:00 PM"
"Department of Probation Brooklyn Office ","Food pantry.","","345 Adams Street","BROOKLYN","NY","11201","(718) 488-3640","","Fri: 10:00 AM - 1:00 PM"
"Department of Probation Manhattan Office ","Food pantry.","","127 West 127th Street","NEW YORK","NY","10027","(212) 851-1403","","Mon: 11:00 AM - 2:00 PM"
"Department of Probation Queens Office ","Food pantry.","","162-24 Jamaica Avenue ","QUEENS","NY","11432","(718) 657-2544","","Fri: 10:00 AM - 1:00 PM"
"Department of Probation Staten Island Office","Food pantry.","","340 Bay Street","STATEN ISLAND","NY","10301","(718) 876-7395","","Wed: 10:00 AM - 1:00 PM"
"Dewitt Reformed Church","Food pantry.  ","","280 Rivington Street","NEW YORK","NY","10002","(212) 674-3341","","Mon, Thu: 10:00 AM - 12:00 PM"
"East New York Wesleyan Church - New Hope Family Worship Center","Food pantry.","","817 Livonia Avenue","BROOKLYN","NY","11207","(718) 456-1305","","Sat: 10:00 AM - 12:00 PM"
"Eastchester Presbyterian Church","Soup kitchen.","","3154 Fish Avenue","BRONX","NY","10469","(718) 798-1855","","Thu: 5:30 PM - 6:30 PM"
"Ebenezer Seventh Day Adventist Church","Soup kitchen. ","","1234 East New York Avenue","BROOKLYN","NY","11212","(718) 778-7900","","Sun: 12:30 PM - 2:00 PM"
"Ebenezer Seventh Day Adventist Church","Food pantry.","","1234 East New York Avenue","BROOKLYN","NY","11212","(718) 778-7900","","Wed: 10:30 AM - 12:00 PM"
"El Amanecer de la Esperanza Ministry, Inc Food Provider","Food pantry. This location will be closed on Friday, April 29, 2016. ","","1769 East 172nd Street","BRONX","NY","10472","(347) 270-8374","","Fri: 9:00 AM - 12:00 PM "
"Elmcor Youth and Adult Activities","Food pantry.","","33-16 108th Street","CORONA","NY","11368","(718) 651-0096","","Wed: 1:30 PM - 2:30 PM"
"Elohim Community Development and Outreach, Inc","Food pantry.","","87-47 111th Street","RICHMOND HILL","NY","11418","(917) 418-7906","","Fri: 9:00 AM - 11:00 AM"
"Emanuel Pentecostal Faith Church","Food pantry.","","1310 Elder Avenue","BRONX","NY","10472","(718) 842-4092","","Wed: 5:00 PM  - 6:00 PM"
"Every Day is a Miracle","Food pantry.","","411 East 143rd Street","BRONX","NY","10455","(646) 671-4360","","Fri: 12:00 PM - 1:30 PM"
"Faith Center for Human Services, Inc","Soup kitchen. ","","1014-18 Gates Avenue","BROOKLYN","NY","11221","(347) 614-3235","","Sat: 9:30 AM - 12:00 PM"
"Faith Center for Human Services, Inc","Food pantry. ","","1014-18 Gates Avenue","BROOKLYN","NY","11221","(347) 614-3235","","Sat: 9:30 AM - 12:00 PM"
"Family Life Development Center","Food pantry. ","","1476 Bedford Avenue","BROOKLYN","NY","11216","(718) 636-4938","","Mon: 4:00 PM - 6:00 PM"
"Family Service Network of NY, Inc","Food pantry.","","1420 Bushwick Avenue","BROOKLYN","NY","11207","(718) 455-6010","","Mon, Wed: 9:00 AM - 1:00 PM"
"Father Creavins Food Pantry","Food pantry.","","276 West 151st Street","NEW YORK","NY","10039","(212) 281-2100","","Tue: 9:00 AM - 10:00 AM"
"Feeding with TLC Inc ","Soup kitchen.","","309 St. Pauls Avenue","STATEN ISLAND","NY","10304","(718) 447-0526","","Sat: 11:00 AM - 1:00 PM"
"Feeding with TLC Inc ","Food pantry.","","309 St. Pauls Avenue","STATEN ISLAND","NY","10304","(718) 447-0526","","Sat: 12:00 PM - 1:00 PM"
"Fernanda Valme Ministries Inc.","Food pantry.","","1120 Flatbush Avenue","BROOKLYN","NY","11226","(718) 284-1809","","Thu: 10:00 AM - 11:00 AM"
"First Baptist Church","Soup kitchen.","","100-10 Astoria Boulevard","EAST ELMHURST","NY","11369","(718) 446-0200","","Wed: 12:00 PM - 1:45 PM"
"First Church of God in Christ","Soup kitchen.","","187-10 Baisley Boulevard","SAINT ALBANS","NY","11412","(718) 712-4831","","Wed: 12:00 PM - 1:30 PM"
"First Church of God in Christ, Inc","Food pantry.","","187-10 Baisley Boulevard","SAINT ALBANS","NY","11412","(718) 718-4831","","Thu: 1:30 PM - 3:30 PM"
"First Presbyterian Church of Jamaica","Soup kitchen.","","89-60 164th Street","JAMAICA","NY","11432","(718) 526-4775","","Wed: 5:30 PM - 6:30 PM"
"First Presbyterian Church of Jamaica","Food pantry.","","89-60 164th Street","JAMAICA","NY","11432","(718) 526-4775","","Tue: 10:00 AM - 12:00 PM"
"First Presbyterian Church of Springfield Gardens","Food pantry.","","216-02 137th Avenue","SPRINGFIELD GARDENS","NY","11413","(718) 528-7744","","Wed: 11:00 AM - 12:00 PM"
"First Presbyterian Russell Sage Memorial Church ","Food pantry.","","896 Central Avenue","FAR ROCKAWAY","NY","11691","(718) 327-2440","","Sat: 9:30 AM - 10:30 AM"
"First United Methodist Church of Jamaica","Food pantry.","","162-10 Highland Avenue","JAMAICA","NY","11432","(718) 739-2269","","Mon: 8:30 AM - 9:30 AM"
"Food Bank for New York City Food for Survival","Soup kitchen.","","252 West 116th Street","NEW YORK","NY","10026","(212) 665-8747","","Mon - Thurs: 4:00 PM - 6:00 PM"
"Food Bank for New York City Food for Survival","Food pantry.","","252 West 116th Street","NEW YORK","NY","10026","(212) 665-8747","","Tue: 10:00 AM - 3:00 PM; Wed: 3:00 PM - 6:00 PM; Thu: 10:00 AM - 2:00 PM"
"Food First, Inc","Food pantry.","","165 Conover Street","BROOKLYN","NY","11231","(718) 624-1950","","Wed: 11:00 AM - 1:00 PM"
"Food Mart","Food pantry.","","729 Delafield Avenue","STATEN ISLAND","NY","10310","(718) 816-1811","","Tue, Thu: 10:00 AM - 2:00 PM"
"Forest Hills Senior Center ","Food pantry. This location is open on the 2nd, 3rd, 4th, and 5th Thursdays of each month.
","","108-25 62nd Drive","FOREST HILLS","NY","11375","(718) 699-1010","","Thurs: 8:30 AM – 9:30 AM"
"Franciscan Community Center at Holy Name","Food pantry.","","207 West 96th Street","NEW YORK","NY","10025","(212) 932-8040","","Mon, Tue: 1:00 PM - 3:30 PM"
"Fraternite Notre Dame","Food pantry.  ","","2290 First Avenue","NEW YORK","NY","10035","(212) 876-5855","","Fri: 2:00 PM - 4:00 PM"
"Fraternite Notre Dame","Soup kitchen.  ","","2290 First Avenue","NEW YORK","NY","10035","(212) 876-5855","","Tue - Fri: 10:30 AM - 1:00 PM"
"Friendly Hands Ministry Inc.","Food pantry.","","229 East 118 Street","NEW YORK","NY","10035","(646) 360-4418","","Wed: 9:00 AM - 12:00 PM"
"GMHC Nutrition and Wellness Program","Food pantry offering an HIV/AIDS diet. 
","","446 West 33rd Street","NEW YORK","NY","10001","(212) 367-1409","","Mon: 11:00 AM - 2:00 PM; Wed: 1:00 PM - 4:00 PM; Thu: 11:00 AM - 2:00 PM"
"Gay Mens Health Crisis (GMHC)","Soup kitchen offering an HIV/AIDS diet.","","446 West 33 Street","NEW YORK","NY","10011","(212) 367-1257","","Mon - Thu: 12:00 PM - 2:45 PM; Fri: 5:00 PM - 7:30 PM"
"Gethsemane Baptist Church","Food pantry.","","771 Fairmount Place","BRONX","NY","10460","(718) 294-7129","","Thu: 7:30 AM - 9:30 AM"
"Gethsemane Seventh Day Adventist Church","Food pantry. ","","357 Empire Boulevard ","BROOKLYN","NY","11225","(347) 296-7573","","Sun: 12:00 PM - 1:00 PM "
"Gethsemane Soul Saving Station","Food pantry.","","145-41 228th Street","SPRINGFIELD GARDENS","NY","11413","(718) 949-8662","","Wed: 1:00 PM - 2:00 PM"
"Give Them to Eat","Soup kitchen.","","800 East 156th Street","BRONX","NY","10455","(718) 993-8378","","Tue: 2:00 PM - 4:00 PM, Thu: 12:00 PM - 2:00 PM, Fri: 11:00 AM - 2:00 PM"
"Give Them to Eat Food Provider","Food pantry. ","","800 East 156th Street","BRONX","NY","10455","(718) 993-8961","","Fri: 11:00 AM - 2:00 PM"
"God's Battalion of Prayer Church","Food pantry. ","","661 Linden Boulevard","BROOKLYN","NY","11203","(718) 774-5447","","Tue, Thu: 9:30 AM - 12:00 PM"
"God's Deliverance Temple, Inc","Food pantry. ","","438 Ralph Avenue","BROOKLYN","NY","11233","(347) 234-3828","","Tue: 11:00 AM - 12:00 PM"
"Good News Deliverance Tabernacle","Food pantry.  ","","442 Cleveland Street","BROOKLYN","NY","11208","(718) 235-0065","","Sat: 11:00 AM - 1:00 PM"
"Good Shepherd Food Pantry","Food pantry.","","104 Cooper Street","NEW YORK","NY","10034","(212) 567-1300","","Sat: 7:30 AM - 9:00 AM"
"Gospel Hill Baptist Church","Food pantry. This location is open on the 1st, 2nd, and 3rd Tuesday of each month.
","","3265 Third Avenue","BRONX","NY","10456","(718) 585-6730","","Tue: 10:30 AM - 12:30 PM"
"Grace Episcopal Church","Soup kitchen.","","1909 Vyse Avenue","BRONX","NY","10460","(718) 542-1946","","Thu: 9:00 AM - 12:00 PM"
"Grand Central Neighborhood Social Service Corporation","Soup kitchen.","","120 East 32nd Street","NEW YORK","NY","10016","(212) 883-0680","","Mon - Sun: 6:30 AM - 7:30 AM, 12:00 PM - 1:30 PM, 4:00 PM - 6:00 PM"
"Grand Concourse SDA Church","Food pantry. ","","1275 Grand Concourse","BRONX","NY","10452","(718) 681-2232","","Wed: 2:30 PM - 4:00 PM"
